geneid	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSG00000165115	0.000245478414899698	-1.35536280873814	0.099	0.262	1
ENSG00000092978	0.000349232484459965	-1.31947309659858	0.124	0.295	1
ENSG00000179134	0.000439986874820946	1.77665609531092	0.303	0.082	1
ENSG00000238062	0.000486569246199642	-1.36044348269851	0.106	0.262	1
ENSG00000133639	0.000690669079290612	-1.06900583276964	0.213	0.41	1
ENSG00000103415	0.000807060670551971	-1.15673210639997	0.11	0.262	1
ENSG00000127241	0.000830994858126668	1.56589062539607	0.333	0.115	1
ENSG00000134077	0.000971813742304356	-0.905693336470143	0.163	0.344	1
ENSG00000188655	0.00112101449723763	-0.84915353128361	0.282	0.475	1
ENSG00000171824	0.00116094173590478	-1.80191134185886	0.211	0.377	1
ENSG00000198692	0.00148036589745067	-0.930023486219414	0.158	0.328	1
ENSG00000106089	0.00152461158348986	-0.929937806150658	0.167	0.344	1
ENSG00000149554	0.0015659427489377	-0.926091427658212	0.124	0.279	1
ENSG00000146463	0.00156729256808741	-1.20388680835076	0.289	0.475	1
ENSG00000100664	0.00157857722434132	-1.05386057988992	0.438	0.639	1
ENSG00000261617	0.00185390889117704	-1.5724048068425	0.154	0.311	1
ENSG00000145391	0.00216514174380246	1.7336596715685	0.438	0.262	1
ENSG00000153140	0.00227401485866465	-1.15157788110299	0.131	0.279	1
ENSG00000122970	0.00233437382518713	-0.801009167645673	0.367	0.574	1
ENSG00000137409	0.00255674945556999	1.41798936647134	0.463	0.279	1
ENSG00000263001	0.00255776542033385	-1.20723630035208	0.211	0.377	1
ENSG00000103569	0.00256024036148147	-1.30119386331948	0.165	0.328	1
ENSG00000115561	0.00279210903260509	-0.749289542410695	0.149	0.311	1
ENSG00000152977	0.00282634314011362	-0.793151199883139	0.229	0.41	1
ENSG00000274070	0.00284676439531637	-0.901455279303529	0.255	0.443	1
ENSG00000223865	0.00286836626968371	-1.40521476803701	0.126	0.262	1
ENSG00000088179	0.00296448559236898	-0.83901970342877	0.447	0.656	1
ENSG00000180263	0.00346246506345696	-0.607699496726279	0.264	0.443	1
ENSG00000081041	0.00356900691325531	-0.993421739582069	0.133	0.279	1
ENSG00000134769	0.00359800922001171	1.07330086040752	0.344	0.164	1
ENSG00000144635	0.00441609311445206	-0.765319471907294	0.312	0.492	1
ENSG00000168175	0.00462668859202453	-1.17726423110961	0.197	0.361	1
ENSG00000143952	0.00471816981982774	-0.59712254403019	0.22	0.393	1
ENSG00000105821	0.00485836950043949	-0.588287836046518	0.422	0.607	1
ENSG00000005810	0.0050158534324541	0.751330521509677	0.69	0.541	1
ENSG00000135447	0.0050587083591923	-1.39107782307652	0.161	0.295	1
ENSG00000182195	0.00507147780976643	-1.33364001895889	0.177	0.328	1
ENSG00000038532	0.00510878167713172	1.92598127395946	0.404	0.262	1
ENSG00000232044	0.00516753208406636	1.44532617873768	0.362	0.197	1
ENSG00000155085	0.00548618121498667	1.4331361622627	0.411	0.23	1
ENSG00000213799	0.00552269011442503	-0.778077799348759	0.133	0.279	1
ENSG00000166266	0.00568195036929232	-0.913340196081035	0.317	0.475	1
ENSG00000112406	0.00568809557004045	-1.06010989639841	0.213	0.377	1
ENSG00000101407	0.0057592439764746	-1.00674410405798	0.14	0.279	1
ENSG00000284791	0.00591368613060389	-1.23936988689713	0.174	0.328	1
ENSG00000272888	0.00605105966836761	-0.726804472243826	0.261	0.443	1
ENSG00000110906	0.00613583408943844	0.757199659171491	0.399	0.213	1
ENSG00000147419	0.00617141136758105	-1.0614450006729	0.28	0.443	1
ENSG00000142794	0.00625966149005154	1.61357684710482	0.468	0.311	1
ENSG00000151490	0.00646647210792702	1.25796340855046	0.36	0.18	1
ENSG00000006634	0.00663376473351659	-1.07675194523621	0.131	0.262	1
ENSG00000163125	0.00678644216731918	-1.13080851798299	0.333	0.475	1
ENSG00000108064	0.00679062069574328	-0.808689131015931	0.174	0.328	1
ENSG00000185920	0.00685663966036491	-0.905598951375096	0.42	0.59	1
ENSG00000077044	0.00707877384902614	0.957368441903629	0.436	0.262	1
ENSG00000177301	0.00721558100351566	1.85579300853609	0.433	0.279	1
ENSG00000157306	0.00722111998926432	-2.18885428552772	0.183	0.311	1
ENSG00000152520	0.00726377783009328	-0.95163740039936	0.328	0.492	1
ENSG00000013306	0.00755346091176903	-1.81393158993907	0.131	0.262	1
ENSG00000048991	0.00758803675369232	-0.665681207356124	0.509	0.689	1
ENSG00000279674	0.00777993577310734	-2.10677086606481	0.255	0.377	1
ENSG00000234056	0.00786952499334749	1.42359541091719	0.358	0.197	1
ENSG00000071655	0.00796806682634555	-0.775876445934403	0.312	0.475	1
ENSG00000143751	0.00800448893283812	-1.44923572792673	0.232	0.393	1
ENSG00000077454	0.00810692172734462	-0.949357745105081	0.264	0.443	1
ENSG00000146197	0.00821644123922633	1.53399838981351	0.266	0.115	1
ENSG00000204397	0.00907864507574597	-0.754595486187247	0.486	0.639	1
ENSG00000123739	0.00910675590477802	-0.910634279679377	0.131	0.262	1
ENSG00000196083	0.00911963032825956	-1.84975513476533	0.234	0.377	1
ENSG00000154845	0.00915571339206017	1.05847384665058	0.365	0.18	1
ENSG00000185885	0.00925954748834382	-1.15636017556663	0.222	0.361	1
ENSG00000236154	0.00929540728093983	-0.69055875616472	0.307	0.475	1
ENSG00000197894	0.00966208950153807	-0.781276554647636	0.133	0.262	1
ENSG00000121766	0.00989305351687438	-0.831933381100325	0.422	0.574	1
ENSG00000169379	0.00991693333398224	-0.662151856378799	0.326	0.508	1
