geneid	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSG00000261441	0.0000115766535370379	-1.26532362001006	0.197	0.421	0.37418059562414
ENSG00000197093	0.000102894200562376	-2.06144976183785	0.112	0.263	1
ENSG00000104131	0.000466499224066306	-0.813443756752735	0.519	0.674	1
ENSG00000138430	0.000711721122923381	-1.38229257214378	0.294	0.474	1
ENSG00000105607	0.00080658404591618	-1.21452790480506	0.341	0.516	1
ENSG00000185989	0.000870499046271285	-2.12339993722896	0.172	0.316	1
ENSG00000132002	0.000872464685955782	1.04766247388562	0.303	0.126	1
ENSG00000187257	0.000896283595690693	-1.11234249604329	0.284	0.432	1
ENSG00000136436	0.00101299600888829	-0.748287503069788	0.562	0.726	1
ENSG00000290861	0.0015806124444376	-2.08926071206316	0.134	0.263	1
ENSG00000177238	0.00169902304154707	-1.5875170920532	0.2	0.347	1
ENSG00000102034	0.0019285063479624	0.772389037078996	0.281	0.126	1
ENSG00000163683	0.00204738573134199	-1.26282662736444	0.222	0.368	1
ENSG00000067334	0.0020873319156642	-1.00893924531654	0.438	0.579	1
ENSG00000107625	0.00210494155575774	-0.932318138948862	0.156	0.295	1
ENSG00000121152	0.0021902795711274	-0.800973941468109	0.188	0.347	1
ENSG00000100234	0.00224559712737099	-1.0287946658227	0.15	0.284	1
ENSG00000167291	0.00228823814482876	1.75156235782149	0.372	0.221	1
ENSG00000236854	0.00234135215951378	-0.62577548712272	0.147	0.284	1
ENSG00000285108	0.00245515197904862	0.874034320848118	0.378	0.211	1
ENSG00000143473	0.00260534442603272	1.26359293989862	0.316	0.158	1
ENSG00000168772	0.00263978907389565	-1.3732946574296	0.175	0.316	1
ENSG00000176386	0.00265100741088476	-0.900840681788235	0.209	0.358	1
ENSG00000197961	0.00288494263917468	-0.843950789322132	0.191	0.337	1
ENSG00000173757	0.00290351922242703	1.18457134862062	0.406	0.242	1
ENSG00000173020	0.00327634630946894	1.57167396962672	0.322	0.179	1
ENSG00000163904	0.00333821563462208	-1.00673736544357	0.278	0.421	1
ENSG00000261371	0.00348064304656311	-0.769308413324858	0.65	0.768	1
ENSG00000013288	0.00360462963932813	1.29741666372783	0.3	0.147	1
ENSG00000165119	0.00423017315332154	-0.640656766550018	0.741	0.832	1
ENSG00000265735	0.0042813277938775	-0.719678862100441	0.956	0.979	1
ENSG00000079332	0.0044593675688804	-0.932696900089016	0.272	0.421	1
ENSG00000173227	0.00446664611247933	2.19218559508957	0.275	0.137	1
ENSG00000169220	0.00470701719809459	-1.05144108400628	0.172	0.305	1
ENSG00000203485	0.00480926740803392	0.860321410141158	0.353	0.189	1
ENSG00000109790	0.00496940091398764	-0.665474389518759	0.378	0.526	1
ENSG00000117877	0.00499887536655704	0.871019518767084	0.269	0.126	1
ENSG00000198373	0.00523788286598869	1.7240806008692	0.403	0.274	1
ENSG00000259446	0.0056260504768145	0.697363711840818	0.694	0.568	1
ENSG00000109572	0.00602039684978459	-0.602478222750516	0.425	0.579	1
ENSG00000122786	0.00612877313413045	-0.630910308795276	0.744	0.821	1
ENSG00000169418	0.00613436185810654	1.38058693344036	0.262	0.126	1
ENSG00000164742	0.00667019833566902	0.759391143721589	0.391	0.242	1
ENSG00000100285	0.00675640858799188	0.832256983021473	0.275	0.137	1
ENSG00000249464	0.0068089507093772	1.53370058008737	0.312	0.179	1
ENSG00000139218	0.00689867158864213	-0.817855476290067	0.55	0.674	1
ENSG00000008517	0.00704157850152237	-0.914562066781838	0.303	0.453	1
ENSG00000090975	0.00712191638187829	0.775552397614977	0.322	0.179	1
ENSG00000205609	0.0072244412923264	-1.21414224199279	0.188	0.326	1
ENSG00000140807	0.00741063194637797	0.948036912043997	0.441	0.295	1
ENSG00000169442	0.00749169713076768	0.718171771154744	0.253	0.126	1
ENSG00000196419	0.00762540463183743	-0.585306656776125	0.581	0.726	1
ENSG00000200847	0.00767386665250645	-0.959053744875315	0.331	0.474	1
ENSG00000145743	0.00779882028859178	-0.666041083620073	0.197	0.337	1
ENSG00000138760	0.0078196721690561	0.789875183456422	0.391	0.232	1
ENSG00000164830	0.00814689429032673	-1.08756854643902	0.244	0.368	1
ENSG00000052795	0.00834976970558709	0.927604662919779	0.434	0.284	1
ENSG00000135063	0.00840579301463096	0.937330287251958	0.262	0.137	1
ENSG00000125755	0.00841776723147913	1.10437511975925	0.381	0.242	1
ENSG00000121057	0.00845763053219043	0.920214113789207	0.316	0.179	1
ENSG00000260230	0.00863643638802418	-1.06897757441336	0.197	0.316	1
ENSG00000174695	0.00867904181238636	-0.629732520287807	0.362	0.495	1
ENSG00000172771	0.00876213859686566	0.98435773563864	0.272	0.137	1
ENSG00000106069	0.00876602840583376	-0.670647294634244	0.275	0.411	1
ENSG00000186529	0.00882911074442213	-1.15629029112378	0.209	0.337	1
ENSG00000226476	0.00883497228633027	-0.725136131321525	0.272	0.411	1
ENSG00000133805	0.00885621031750324	0.971582024362716	0.334	0.189	1
ENSG00000106028	0.00886649613169246	-1.28681222119833	0.144	0.253	1
ENSG00000128595	0.00893045643286566	0.743421239148652	0.272	0.137	1
ENSG00000138777	0.00934057504224573	1.21092546227654	0.416	0.284	1
ENSG00000119471	0.00981211504097439	-1.34769275804306	0.141	0.253	1
ENSG00000206676	0.00982181530650239	-1.28447723914201	0.191	0.316	1
ENSG00000127084	0.0098234150618693	-0.591704419471847	0.491	0.6	1
ENSG00000013441	0.0099086562999842	-0.616272771503574	0.431	0.579	1
ENSG00000242498	0.00993506427793179	0.719723346528686	0.253	0.126	1
